epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
0,90.73030169427474,91.21315192743764,inf,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
1,96.37683441456194,62.641723356009074,inf,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
2,97.80342633998866,98.43159486016629,inf,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
3,98.52616993134724,97.74502393550011,162.6295323072446,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
4,98.98910373496253,92.88863693625598,149.2322036640557,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
5,99.19222775083456,97.48047367094986,145.92795194898866,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
6,99.4205454430938,99.1811539430587,130.66779317117948,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
7,99.5244693581911,97.1655328798186,107.92252848470544,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
8,99.6189456446432,94.9294532627866,101.08913002321576,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
9,99.77955533161176,96.76240866717058,99.76520289737086,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
10,99.820495055741,98.7591332829428,99.76650191086256,False,"[[1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0, 0]]",38,966.784
