epoch,train_accs,val_accs,epoch_times,predictions,converged,penguin_times,genome,flops,arch
0,91.29715941298734,86.39455782312925,166.49164819717407,inf,False,0.0003750324249267,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
1,97.06966051521069,96.28999748047367,63.65830898284912,inf,False,0.0001173019409179,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
2,97.97820746992504,96.0506424792139,63.52149510383606,inf,False,0.0001277923583984,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
3,98.36398563960446,93.96573444192492,63.47368001937866,inf,False,0.0947358608245849,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
4,98.5923033318637,99.21264802217183,63.67219877243042,96.413946896206,False,0.0215365886688232,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
5,99.00170057315614,98.29931972789116,63.57365083694458,96.94380305752546,False,0.0098602771759033,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
6,99.5197455438685,97.29780801209372,63.57621955871582,97.02887469664502,False,0.0096580982208251,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
7,99.2489135227058,97.44268077601411,63.53841757774353,97.11118141560264,True,0.0063576698303222,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 1, 1]]",641.7559,32
0,90.62637777917745,82.18694885361552,94.22184491157532,inf,False,0.0001213550567626,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
1,96.03671978333438,96.98916603678508,56.37995648384094,inf,False,0.0001158714294433,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
2,97.24601624992128,95.04913076341649,56.22768259048462,inf,False,0.0001406669616699,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
3,97.78138187314984,97.97178130511465,56.37882947921753,inf,False,0.0936610698699951,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
4,98.33879196321725,85.3867472915092,56.346428632736206,93.84920861800876,False,0.0660126209259033,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
5,98.72614473767084,98.79692617787856,56.37428116798401,94.838753447938,False,0.0765914916992187,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
6,99.18278012218931,99.26303854875285,56.29788994789124,95.57613678264514,False,0.0721702575683593,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
7,98.90407507715564,99.59687578735198,56.33294892311096,96.15053372733064,False,0.0742261409759521,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
8,99.49612647225548,96.80650037792896,56.23755216598511,96.23253047591336,False,0.0728950500488281,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
9,99.49297726270706,99.6787603930461,56.25032496452332,96.6154538733353,True,0.0800457000732421,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]",613.1805,45
0,94.07633683945328,96.45376669186192,87.67322373390198,inf,False,0.0001423358917236,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
1,99.01587201612396,96.08843537414964,72.85716843605042,inf,False,0.0001335144042968,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
2,99.4268438621906,99.90551776266062,72.98674368858337,inf,False,0.000117540359497,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
3,99.77798072683755,98.7087427563618,72.77262473106384,102.87146581728928,False,0.0138332843780517,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
4,99.78585375070855,99.06147644242884,72.95559740066528,100.03462238962268,False,0.0086264610290527,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
5,99.94331422812874,99.72285210380448,72.87968897819519,100.21741011366368,False,0.0055952072143554,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
6,99.96063488064496,98.33711262282692,72.86297798156738,99.2754049262838,False,0.0070631504058837,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
7,99.84253952257984,100.0,72.86336421966553,99.56104311351343,False,0.0062258243560791,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
8,99.9984253952258,100.0,72.88176083564758,99.74949260044578,True,0.0052173137664794,"[[1, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",984.0668,38
0,89.4643194558166,85.31746031746032,86.22876477241516,inf,False,0.0001311302185058,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
1,94.60855325313346,50.0,56.58666014671326,inf,False,0.0001313686370849,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
2,95.74856710965548,50.0,56.59821534156799,inf,False,9.369850158691406e-05,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
3,96.32014864269068,93.96573444192492,56.51114988327026,115.42584275436352,False,0.0761728286743164,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
4,96.806701517919,74.09297052154194,56.450154542922974,110.34785273413492,False,0.0693867206573486,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
5,97.1720098255338,97.79541446208113,56.59744906425476,147.3974992613374,False,0.0267374515533447,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
6,97.78453108269824,98.06626354245402,56.479942083358765,154.05833534738173,False,0.0261361598968505,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
7,97.66958493418151,97.1655328798186,56.45921802520752,153.1278884886419,False,0.0297167301177978,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
8,98.23329344334572,98.57646762408667,56.48817181587219,150.8931539120746,False,0.0295267105102539,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
9,98.3104490772816,98.61426051902242,56.469775676727295,147.5018252362982,False,0.0517284870147705,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
10,98.4962524406374,97.29780801209372,56.47710633277893,129.777652860107,False,0.0191729068756103,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
11,98.73716697109026,98.93550012597632,56.49665069580078,118.5871099761577,False,0.0174891948699951,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
12,98.81117339547774,99.09926933736456,56.45918154716492,112.68545938596688,False,0.015190839767456,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
13,98.98437992063992,99.1559586797682,56.453819036483765,109.15953377961416,False,0.0137646198272705,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
14,99.0694085784468,98.33711262282692,56.46408653259277,106.51980520389198,False,0.0119619369506835,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
15,99.14813881715688,99.3575207860922,56.63924407958984,105.14174753585982,False,0.0162835121154785,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
16,99.32764376141589,98.14184933232552,56.532371520996094,103.79699709151129,False,0.0138351917266845,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
17,99.37330729986772,97.29150919627112,56.59163737297058,102.66077875480124,False,0.0108797550201416,"[[0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0]]",526.0669,77
