epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
0,91.71600428292498,95.0302343159486,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
1,97.00195250992002,89.10934744268077,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
2,98.04749007998991,95.88687326782564,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
3,98.5812810984443,77.96674225245654,89.49830323633775,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
4,99.04578950683378,95.56563366087175,90.71177396452374,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
5,99.44888832902942,99.24414210128496,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
6,99.65201234490144,99.73544973544972,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
7,99.47408200541663,99.86772486772487,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
8,99.84411412735405,99.86142605190224,119.1440665683755,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
9,99.85671096554763,98.27412446460066,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
10,99.9055237135479,99.51499118165783,114.99176916223956,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
11,99.94331422812874,99.91811539430589,113.72045436811727,False,"[[0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1, 0]]",77,595.4673
