epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
0,82.0510801788751,76.2912572436382,407.4619071483612,inf,False,,,0.0001654624938964,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
1,89.0974365434276,81.56966490299824,66.20894384384155,inf,False,,,0.0001120567321777,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
2,91.82780122189332,65.34391534391534,65.93707847595215,inf,False,,,0.0001194477081298,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
3,93.46381558228885,92.00680272108843,65.92945742607117,inf,False,"[inf, inf, inf]",inf,0.0843074321746826,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
4,94.69830572526295,91.4777021919879,65.97476530075073,145.13886280204636,False,[200.           1.03406223 144.5644338 ],[73.25476282 77.42977743 81.46726618 85.37175921 89.14763742],0.0487375259399414,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
5,95.57378597971908,93.87755102040816,65.97570824623108,146.79849772497687,False,[199.99999992   1.03539839 139.24294781],[73.056321   77.39629536 81.58789385 85.63618919 89.54608065 93.3223    ],0.0408401489257812,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
6,96.32487245701329,86.33786848072562,65.96785593032837,108.44376705086977,False,[110.88034624   1.1144148   33.22117451],"[74.32488331 78.07796153 81.44571851 84.46771444 87.17944793 89.61277302
 91.79627336]",0.0211241245269775,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
7,96.85393966114503,70.21919879062736,65.92541003227234,85.04734099201413,False,[85.04735061  1.74062944  4.15690098],"[75.03370184 79.29446114 81.74228788 83.14857615 83.95649553 84.42064911
 84.68730758 84.84050415]",0.005608320236206,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
8,97.22869559740504,95.86797682035775,65.93384861946106,88.74379172441458,False,[88.74618431  1.41488453  7.60937448],"[74.72151878 78.83395102 81.74050074 83.79476712 85.24666397 86.27282322
 86.99808329 87.5106764  87.87296259]",0.0094687938690185,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
9,97.71997228695598,75.88813303099018,65.91467332839966,85.3378294383185,False,[85.3378407   1.73224401  4.26208599],"[74.93930076 79.33491046 81.87243386 83.33731028 84.18296274 84.67114597
 84.95296725 85.11565869 85.20957817 85.26379655]",0.0101640224456787,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
10,98.19550292876488,93.92164273116654,66.0771312713623,87.11376375166743,False,[87.1140903   1.52425201  5.95645333],"[74.80094115 79.0359319  81.81433779 83.63713735 84.83300231 85.61756087
 86.13227796 86.46996299 86.69150447 86.83684885 86.93220342]",0.0084795951843261,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
11,98.6946526421868,94.69639707734946,65.88768815994263,89.68274281283698,False,[89.70007063  1.308787    9.92965198],"[75.23008117 78.64403975 81.25253035 83.24559003 84.76841971 85.9319625
 86.82098631 87.50025941 88.01926907 88.41582685 88.71882328 88.95033263]",0.0070881843566894,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
12,98.92611954399446,95.30738221214412,65.95595502853394,100.25871378019468,False,[106.93274505   1.06167178  56.71910509],"[77.13762837 78.86840614 80.49864422 82.0341829  83.48052319 84.84284658
 86.12603354 87.33468105 88.47311907 89.545426   90.55544337 91.50678952
 92.40287264]",0.026073932647705,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
13,99.4315676765132,94.86646510456036,65.94114589691162,inf,False,"[inf, inf, inf]",inf,0.1033315658569336,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
14,99.65516155444983,93.36734693877553,65.99035930633545,101.22786526997687,False,[109.98660482   1.05421855  66.0996421 ],"[77.19913337 78.88539573 80.48493348 82.00220688 83.44144678 84.80666645
 86.10167276 87.33007679 88.4953039  89.60060328 90.64905702 91.6435887
 92.58697154 93.48183611 94.33067773]",0.0277903079986572,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
15,99.75121244567612,97.22852103804485,65.93944144248962,105.2413390782002,False,[138.53553558   1.02446914 170.00290854],"[77.60421263 79.0595394  80.48010611 81.866743   83.22026048 84.54144959
 85.83108249 87.08991288 88.31867648 89.51809142 90.68885869 91.83166252
 92.94717082 94.03603554 95.09889304 96.13636449]",0.0387020111083984,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
16,99.91497134219313,96.27739984882842,65.95119333267212,103.8569600214364,False,[124.08319833   1.03396779 115.01959808],"[77.46125793 78.99287642 80.47417836 81.90681674 83.29239025 84.63244507
 85.92847657 87.18193099 88.39420707 89.56665761 90.70059093 91.79727242
 92.85792585 93.88373482 94.87584403 95.83536059 96.76335523]",0.024512767791748,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
17,99.97165711406436,97.63164525069288,65.94913601875305,103.82248716343275,False,[123.80249494   1.03422838 113.98162895],"[77.45706267 78.99089131 80.47395701 81.9079398  83.29446412 84.63510061
 85.93136797 87.18473462 88.39662039 89.5683981  90.70139515 91.79689502
 92.85613869 93.88032608 94.87061741 95.82813448 96.75396197 97.64914867]",0.060309886932373,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
18,99.9937015809032,97.54346182917612,65.94975399971008,102.94479245927096,False,[117.51238854   1.04141695  91.00916307],"[77.33294201 78.93087084 80.46525035 81.93860788 83.35337027 84.71186783
 86.0163382  87.26893004 88.47170654 89.62664886 90.73565934 91.80056469
 92.82311896 93.80500644 94.74784445 95.65318597 96.52252223 97.35728516
 98.15884973]",0.0208847522735595,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
19,99.9984253952258,97.66943814562862,66.02955508232117,102.08326609231396,False,[112.73823587   1.04937712  74.09098046],"[77.18804431 78.86081369 80.45487302 81.9739259  83.42150167 84.80096358
 86.11551666 87.3682151  88.5619694  89.69955309 90.78360922 91.81665646
 92.80109497 93.73921196 94.63318705 95.48509726 96.29692191 97.07054719
 97.8077705  98.51030469]",0.0378704071044921,"[[0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0]]","[[[0], [0, 0], [1, 1, 0], [1]], [[1], [1, 0], [0, 0, 0], [0]], [[0], [1, 1], [0, 0, 1], [0]]]",893.3721,51
