epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
11,95.81784971972036,93.65709246661628,51.12537026405335,95.69717432781871,True,[95.70486799  1.40984839 10.8293708 ],"[54.45302374 66.44509471 74.95102417 80.98424699 85.26358855 88.29890894
 90.45184993 91.97892263 93.06206939 93.83034118 94.37527339 94.76179169]",0.0090909004211425,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
0,72.55936259998741,61.306374401612494,382.7300837039948,inf,False,,,0.0001733303070068,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
1,85.47584556276375,86.54572940287225,29.63701057434082,inf,False,,,0.0001223087310791,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
2,86.16237324431567,85.74577979339884,29.436671018600464,inf,False,,,0.0001196861267089,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
3,86.65050072431819,85.75837742504409,29.470351934432983,inf,False,"[inf, inf, inf]",inf,0.1152460575103759,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
4,86.82213264470617,85.22297808012094,29.45810413360596,inf,False,"[inf, inf, inf]",inf,0.0934782028198242,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
5,86.84417711154501,87.50944822373394,29.572728157043457,inf,False,"[inf, inf, inf]",inf,0.1147823333740234,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
6,87.06304717515904,85.99143361048122,29.689266681671143,inf,False,"[inf, inf, inf]",inf,0.1038541793823242,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
7,87.48189204509669,83.27034517510708,29.83160972595215,inf,False,"[inf, inf, inf]",inf,0.1974027156829834,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
8,87.69761289916231,85.44973544973546,29.65992426872253,inf,False,"[inf, inf, inf]",inf,0.113978624343872,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
9,87.89601310071173,85.63869992441421,29.647062301635746,inf,False,"[inf, inf, inf]",inf,0.1813538074493408,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
10,88.1621213075518,85.02141597379692,29.7834153175354,inf,False,"[inf, inf, inf]",inf,0.130810260772705,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
11,88.16999433142281,85.14739229024943,29.643713235855103,inf,False,"[inf, inf, inf]",inf,0.1187014579772949,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
12,88.36209611387542,88.2212144116906,29.671364784240723,inf,False,"[inf, inf, inf]",inf,0.1248104572296142,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
13,88.39673741890786,86.57722348198538,29.578876495361328,inf,False,"[inf, inf, inf]",inf,0.1012747287750244,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
14,88.60301064432828,86.18039808516,29.6641845703125,inf,False,"[inf, inf, inf]",inf,0.1079108715057373,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
15,88.8234553127165,78.5777273872512,29.573606729507446,inf,False,"[inf, inf, inf]",inf,0.1176552772521972,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
16,89.11003338162121,88.36608717561099,29.561506271362305,inf,False,"[inf, inf, inf]",inf,0.1123876571655273,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
