epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
2,86.44895131322038,71.81279919375157,inf,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
3,88.17944196006802,50.83774250440917,59.44833344554566,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
4,89.54619890407508,65.86041824137062,63.105075543995966,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
5,90.39333627259558,85.74577979339884,145.74845984146086,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
6,91.23417522201927,74.35752078609221,138.40507368763542,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
7,92.08918561441078,81.86570924666162,137.7109800558708,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
8,92.81980222964036,84.80725623582767,130.4405066370771,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
9,93.47483781570826,82.2058453010834,102.960485497382,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
10,94.44321975184228,90.22423784328548,108.37447287874043,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
11,95.07306166152296,53.1809019904258,79.84055638050832,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
12,95.41632550229892,93.07760141093476,84.18578475931339,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
13,96.19418026075456,92.87603930461071,88.38832983613345,False,"[[1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]",86,713.3055
