epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
0,88.60773445865088,78.16830435878055,inf,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
1,94.12357498267934,93.3862433862434,inf,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
2,95.5706367701707,94.50113378684809,inf,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
3,96.15481514139952,96.10103300579492,95.5586687871267,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
4,96.67443471688608,97.50566893424036,96.47345083042262,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
5,97.28380676450212,95.38296800201562,96.1077174007449,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
6,97.4696101278579,91.50919627110105,95.04399463519262,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
7,97.6396674434717,88.01335348954396,93.83077196548815,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
8,98.26793474837817,90.23683547493071,inf,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
9,98.37343326824968,98.24263038548752,93.93322679505371,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
10,98.55293821250866,93.65079365079364,93.90174670861671,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
11,98.72457013289664,96.1703199798438,94.12993763353846,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
12,98.81432260502612,83.86873267825649,93.2141098084777,False,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
13,99.01429741134974,98.9543965734442,93.67598452546258,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
14,99.12294514076969,93.54371378180902,93.66585140500337,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
15,99.16703407444732,99.26933736457546,94.0664409290399,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
16,99.4315676765132,97.713529856387,94.31145257347686,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
17,99.38590413806136,93.4870244394054,94.25944943324062,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
18,99.51187251999748,99.68505920886874,94.58228520567636,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
19,99.59690117780436,99.5023935500126,94.8603164542897,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
20,99.61264722554638,99.46460065507684,95.1079612167817,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
21,99.68665364993387,99.73544973544972,95.3454061090619,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
22,99.70712351199847,99.5023935500126,95.54930894747008,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
23,99.75593625999872,99.76694381456286,95.7474361824276,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
24,99.76066007432136,99.77324263038548,95.92889167828768,True,"[[0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",56,352.8169
0,89.16671915349248,86.25598387503149,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
1,94.66523902500472,95.51524313429076,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
2,96.1453675127543,89.59435626102292,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
3,96.66498708824084,91.29503653313176,92.13487889091142,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
4,97.23341941172764,97.70723104056438,93.52796775764116,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
5,97.61289916231026,96.23330813807004,102.67527629990192,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
6,98.1041758518612,63.668430335097,89.00226567460696,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
7,97.68848019147194,98.2615268329554,90.32501822076256,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
8,98.43011904012091,98.6079617031998,91.36038731944758,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
9,98.57813188889588,99.17485512723609,92.22866253911344,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
10,98.66158594192858,94.11690602166792,92.41748757223178,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
11,98.79700195250992,94.8538674729151,102.12140444926196,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
12,98.79857655728412,99.1811539430587,93.18415964957184,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
13,99.03004345909176,94.94834971025448,93.31986728177732,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
14,99.12294514076969,98.57016880826404,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
15,99.2615103608994,98.48828420256991,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
16,99.48510423883606,96.70571932476696,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
17,99.49770107702966,99.19375157470397,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
18,99.609498015998,99.65986394557824,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
19,99.65201234490144,99.7039556563366,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
20,99.69452667380487,99.77954144620811,inf,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
21,99.75278705045034,99.76694381456286,102.789000753607,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
22,99.76380928386976,99.81103552532124,102.1717281393846,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
23,99.8252188700636,99.76694381456286,101.65302055076924,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
24,99.84411412735405,99.78584026203072,101.2467087243803,False,"[[0, 1, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0]]",21,642.0427
0,94.58493418152044,90.82262534643488,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0]]",19,973.348
1,98.67103357057378,98.29931972789116,inf,False,"[[0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0]]",19,973.348
